"Work Item Type","Title 1","Title 2","Description","Acceptance Criteria","State","Area Path","Iteration Path","Priority","Tags"
"User Story","chore/ab-id-adicionar-lighthouse-ci-no-pipeline","","Objetivo: criar verificacao automatica de performance no CI para evitar regressao
Escopo: workflow, thresholds e artefatos de relatorio
Branch padrao: chore/ab-id-adicionar-lighthouse-ci-no-pipeline
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Workflow executa Lighthouse em PR/push configurado.
2) Thresholds minimos definidos para Performance, A11y e SEO.
3) Pipeline falha quando metricas ficam abaixo do limite.
4) Relatorio fica salvo como artefato.
5) Branch criada a partir de `develop` no padrao `chore/ab-id-adicionar-lighthouse-ci-no-pipeline` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:ci;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-adicionar-lighthouse-ci-no-pipeline","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Adicionar Lighthouse CI no pipeline
Branch padrao: chore/ab-id-planejar-adicionar-lighthouse-ci-no-pipeline
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-implementar-adicionar-lighthouse-ci-no-pipeline","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Adicionar Lighthouse CI no pipeline
Branch padrao: chore/ab-id-implementar-adicionar-lighthouse-ci-no-pipeline
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-adicionar-lighthouse-ci-no-pipeline","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Adicionar Lighthouse CI no pipeline
Branch padrao: test/ab-id-validar-e-documentar-adicionar-lighthouse-ci-no-pipeline
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-ativar-branch-protection-no-github","","Objetivo: impedir merge direto sem validacoes
Escopo: regras de protecao para main/develop
Branch padrao: chore/ab-id-ativar-branch-protection-no-github
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Branches principais protegidas contra push direto.
2) Review obrigatorio configurado.
3) Checks obrigatorios de CI habilitados.
4) Restricoes validadas com teste de permissao.
5) Branch criada a partir de `develop` no padrao `chore/ab-id-ativar-branch-protection-no-github` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:governance;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-ativar-branch-protection-no-github","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Ativar branch protection no GitHub
Branch padrao: chore/ab-id-planejar-ativar-branch-protection-no-github
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-implementar-ativar-branch-protection-no-github","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Ativar branch protection no GitHub
Branch padrao: chore/ab-id-implementar-ativar-branch-protection-no-github
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-ativar-branch-protection-no-github","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Ativar branch protection no GitHub
Branch padrao: test/ab-id-validar-e-documentar-ativar-branch-protection-no-github
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-configurar-custom-domain-para-ambiente-azure","","Objetivo: habilitar dominio proprio para acesso publico com branding
Escopo: DNS, validacao e HTTPS
Branch padrao: chore/ab-id-configurar-custom-domain-para-ambiente-azure
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Dominio custom associado ao recurso Azure correto.
2) Certificado HTTPS ativo sem alerta no navegador.
3) Redirecionamento de dominio antigo definido (se aplicavel).
4) URL final documentada no projeto.
5) Branch criada a partir de `develop` no padrao `chore/ab-id-configurar-custom-domain-para-ambiente-azure` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-configurar-custom-domain-para-ambiente-azure","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Configurar custom domain para ambiente Azure
Branch padrao: chore/ab-id-planejar-configurar-custom-domain-para-ambiente-azure
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
