"Work Item Type","Title","Description","State","Area Path","Iteration Path","Priority","Tags"
"Task","chore/ab-id-planejar-adicionar-lighthouse-ci-no-pipeline","Titulo original: Planejar - Adicionar Lighthouse CI no pipeline. Parent Story: Adicionar Lighthouse CI no pipeline. Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao. Execucao: branch 'chore/ab-id-planejar-adicionar-lighthouse-ci-no-pipeline' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","chore/ab-id-implementar-adicionar-lighthouse-ci-no-pipeline","Titulo original: Implementar - Adicionar Lighthouse CI no pipeline. Parent Story: Adicionar Lighthouse CI no pipeline. Objetivo: implementar a solucao tecnica conforme escopo aprovado da story. Execucao: branch 'chore/ab-id-implementar-adicionar-lighthouse-ci-no-pipeline' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","test/ab-id-validar-e-documentar-adicionar-lighthouse-ci-no-pipeline","Titulo original: Validar e documentar - Adicionar Lighthouse CI no pipeline. Parent Story: Adicionar Lighthouse CI no pipeline. Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria. Execucao: branch 'test/ab-id-validar-e-documentar-adicionar-lighthouse-ci-no-pipeline' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","chore/ab-id-planejar-ativar-branch-protection-no-github","Titulo original: Planejar - Ativar branch protection no GitHub. Parent Story: Ativar branch protection no GitHub. Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao. Execucao: branch 'chore/ab-id-planejar-ativar-branch-protection-no-github' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","chore/ab-id-implementar-ativar-branch-protection-no-github","Titulo original: Implementar - Ativar branch protection no GitHub. Parent Story: Ativar branch protection no GitHub. Objetivo: implementar a solucao tecnica conforme escopo aprovado da story. Execucao: branch 'chore/ab-id-implementar-ativar-branch-protection-no-github' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","test/ab-id-validar-e-documentar-ativar-branch-protection-no-github","Titulo original: Validar e documentar - Ativar branch protection no GitHub. Parent Story: Ativar branch protection no GitHub. Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria. Execucao: branch 'test/ab-id-validar-e-documentar-ativar-branch-protection-no-github' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","chore/ab-id-planejar-configurar-custom-domain-para-ambiente-azure","Titulo original: Planejar - Configurar custom domain para ambiente Azure. Parent Story: Configurar custom domain para ambiente Azure. Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao. Execucao: branch 'chore/ab-id-planejar-configurar-custom-domain-para-ambiente-azure' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","chore/ab-id-implementar-configurar-custom-domain-para-ambiente-azure","Titulo original: Implementar - Configurar custom domain para ambiente Azure. Parent Story: Configurar custom domain para ambiente Azure. Objetivo: implementar a solucao tecnica conforme escopo aprovado da story. Execucao: branch 'chore/ab-id-implementar-configurar-custom-domain-para-ambiente-azure' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","test/ab-id-validar-e-documentar-configurar-custom-domain-para-ambiente-azure","Titulo original: Validar e documentar - Configurar custom domain para ambiente Azure. Parent Story: Configurar custom domain para ambiente Azure. Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria. Execucao: branch 'test/ab-id-validar-e-documentar-configurar-custom-domain-para-ambiente-azure' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","chore/ab-id-planejar-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa","Titulo original: Planejar - Configurar variaveis separadas de prod e test no Azure SWA. Parent Story: Configurar variaveis separadas de prod e test no Azure SWA. Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao. Execucao: branch 'chore/ab-id-planejar-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
