"Work Item Type","Title","Description","Acceptance Criteria","State","Area Path","Iteration Path","Priority","Tags"
"User Story","chore/ab-id-adicionar-lighthouse-ci-no-pipeline","Titulo original: Adicionar Lighthouse CI no pipeline. Objetivo: criar verificacao automatica de performance no CI para evitar regressao. Escopo: workflow, thresholds e artefatos de relatorio. Execucao: branch 'chore/ab-id-adicionar-lighthouse-ci-no-pipeline' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Workflow executa Lighthouse em PR/push configurado. 2) Thresholds minimos definidos para Performance, A11y e SEO. 3) Pipeline falha quando metricas ficam abaixo do limite. 4) Relatorio fica salvo como artefato. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:ci;priority:alta;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-ativar-branch-protection-no-github","Titulo original: Ativar branch protection no GitHub. Objetivo: impedir merge direto sem validacoes. Escopo: regras de protecao para main/develop. Execucao: branch 'chore/ab-id-ativar-branch-protection-no-github' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Branches principais protegidas contra push direto. 2) Review obrigatorio configurado. 3) Checks obrigatorios de CI habilitados. 4) Restricoes validadas com teste de permissao. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:governance;priority:alta;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-configurar-custom-domain-para-ambiente-azure","Titulo original: Configurar custom domain para ambiente Azure. Objetivo: habilitar dominio proprio para acesso publico com branding. Escopo: DNS, validacao e HTTPS. Execucao: branch 'chore/ab-id-configurar-custom-domain-para-ambiente-azure' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Dominio custom associado ao recurso Azure correto. 2) Certificado HTTPS ativo sem alerta no navegador. 3) Redirecionamento de dominio antigo definido (se aplicavel). 4) URL final documentada no projeto. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa","Titulo original: Configurar variaveis separadas de prod e test no Azure SWA. Objetivo: separar configuracoes por ambiente na plataforma Azure SWA. Escopo: mapear variaveis, atualizar segredos e validar runtime. Execucao: branch 'chore/ab-id-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Variaveis de producao e teste separadas no Azure SWA. 2) Segredos nao sao compartilhados entre ambientes. 3) Build/deploy usa variaveis corretas por branch ambiente. 4) Tabela de variaveis por ambiente documentada. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-configurar-waf-e-routing-rules-staticwebapp-config-json","Titulo original: Configurar WAF e routing rules (staticwebapp. config.json). Objetivo: configurar regras de roteamento e seguranca de borda para reduzir risco de exposicao e melhorar governanca de acesso. Execucao: branch 'chore/ab-id-configurar-waf-e-routing-rules-staticwebapp-config-json' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Arquivo staticwebapp.config.json criado/atualizado com regras necessarias. 2) Rotas e rewrites validos para app e erros. 3) Regras de seguranca (headers/allow-deny) aplicadas conforme necessidade. 4) Validacao em ambiente de teste com evidencias. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"User Story","docs/ab-id-criar-template-de-pull-request-em-github-pull-request-template-md","Titulo original: Criar template de Pull Request em. github/pull_request_template.md. Objetivo: padronizar informacoes minimas em PR para melhorar revisao. Escopo: template com contexto, checklist e testes. Execucao: branch 'docs/ab-id-criar-template-de-pull-request-em-github-pull-request-template-md' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Arquivo .github/pull_request_template.md criado. 2) Template inclui contexto, mudancas, riscos e checklist de testes. 3) Novo PR ja aparece com template automaticamente. 4) Time validou o formato. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:governance;priority:alta;workflow:gitflow;workflow:conventional-commits"
"User Story","feature/ab-id-integrar-monitoramento-de-erros-com-sentry","Titulo original: Integrar monitoramento de erros com Sentry. Objetivo: implantar monitoramento de erros no app para frontend e backend. Escopo: configurar SDK, variaveis e validacao de eventos em ambiente de teste. Execucao: branch 'feature/ab-id-integrar-monitoramento-de-erros-com-sentry' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Sentry configurado no projeto com DSN por ambiente. 2) Erros de cliente e servidor chegam no Sentry. 3) Variaveis documentadas em docs/deployment/environment-variables.md. 4) Evidencia de teste anexada no work item. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:observability;priority:alta;workflow:gitflow;workflow:conventional-commits"
"User Story","test/ab-id-separar-ambiente-de-producao-do-ambiente-de-teste","Titulo original: Separar ambiente de producao do ambiente de teste. Objetivo: garantir isolamento completo entre configuracoes de test e prod. Escopo: variaveis, segredos e validacao de deploy. Execucao: branch 'test/ab-id-separar-ambiente-de-producao-do-ambiente-de-teste' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Variaveis de test e prod separadas em cada ambiente. 2) Segredos diferentes por ambiente. 3) Build de test nao usa valores de producao. 4) Checklist de validacao de ambiente documentado. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"User Story","feature/ab-id-criar-ou-validar-arquivo-public-og-image-jpg","Titulo original: Criar ou validar arquivo /public/og-image. jpg. Objetivo: garantir imagem Open Graph padrao para compartilhamento social. Escopo: gerar asset e referenciar no metadata. Execucao: branch 'feature/ab-id-criar-ou-validar-arquivo-public-og-image-jpg' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Arquivo /public/og-image.jpg existe no tamanho recomendado. 2) Metadata aponta para a imagem correta em todos os ambientes. 3) Compartilhamento em rede social exibe preview valido. 4) Asset otimizado e versionado. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 1","2","source:excalidraw;phase:0-30d;area:seo;priority:media;workflow:gitflow;workflow:conventional-commits"
"User Story","test/ab-id-adicionar-testes-de-acessibilidade-com-axe","Titulo original: Adicionar testes de acessibilidade com axe. Objetivo: detectar problemas basicos de acessibilidade automaticamente. Escopo: integrar axe nos testes e2e ou componente. Execucao: branch 'test/ab-id-adicionar-testes-de-acessibilidade-com-axe' a partir de 'develop'; commits em 'tipo(escopo): descricao AB#<ID>'; PR para 'develop' com AB#<ID>.","1) Testes com axe executam no CI. 2) Pags principais validadas sem violacoes criticas. 3) Falhas de acessibilidade quebram pipeline. 4) Guia rapido de execucao documentado. 5) Branch, commits e PR seguem GitFlow + Conventional Commits com AB#<ID>. 6) PR para develop segue template em Markdown com: Contexto, O que foi feito, Impacto, Testes realizados, Como validar e Checklist; incluindo AB#<ID>.","New","mandure-servicos","mandure-servicos\Iteration 2","1","source:excalidraw;phase:30-60d;area:a11y;priority:alta;workflow:gitflow;workflow:conventional-commits"
